"kingdom","group","location","website","lat","lng"
"Kingdom of An Tir","Canton of Kaldor Ness","Seattle, WA","https://www.baronyofthreemountains.org/","47.603832","-122.330062"
"Kingdom of An Tir","Canton of Misty Ridge","Seattle, WA","https://antir.org","47.603832","-122.330062"
"Kingdom of An Tir","Canton of Porte de l'Eau","Seattle, WA","https://porte-de-leau.antir.org/","47.603832","-122.330062"
"Kingdom of An Tir","College of Cranehaven","Seattle, WA","https://antir.sca.wiki/index.php?title=Cranehaven","47.603832","-122.330062"
"Kingdom of An Tir","College of Lyonsmarche","Seattle, WA","http://lyonsmarche.antir.org/","47.603832","-122.330062"
"Kingdom of An Tir","Principality of Tir Righ","Vancouver, BC, Canada","http://www.tirrigh.org/","49.260872","-123.113952"
"Kingdom of An Tir","Principality of the Summits","Eugene, OR","http://summits.antir.sca.org/","44.050505","-123.095051"
"Kingdom of An Tir","Shire of Appledore","Vancouver, BC, Canada","https://www.facebook.com/AppledoreSCA","49.260872","-123.113952"
"Kingdom of An Tir","Shire of Briaroak","Eugene, OR","http://briaroak.antir.sca.org/","44.050505","-123.095051"
"Kingdom of An Tir","Shire of Coeur du Val","Eugene, OR","http://cdv.antir.org/","44.050505","-123.095051"
"Kingdom of An Tir","Shire of Coill Mhór","Vancouver, BC, Canada","https://coillmhor.tirrigh.org/","49.260872","-123.113952"
"Kingdom of An Tir","Shire of Cold Keep","Vancouver, BC, Canada","https://coldkeep.tirrigh.org/","49.260872","-123.113952"
"Kingdom of An Tir","Shire of Corvaria","Eugene, OR","http://corvaria.antir.sca.org/wp/","44.050505","-123.095051"
"Kingdom of An Tir","Shire of Danescombe","Vancouver, BC, Canada","https://danescombe.tirrigh.org/","49.260872","-123.113952"
"Kingdom of An Tir","Shire of Hartwood","Vancouver, BC, Canada","http://hartwood.tirrigh.org/","49.260872","-123.113952"
"Kingdom of An Tir","Shire of Hauksgarðr","Seattle, WA","https://hauksgardr.antir.org/","47.603832","-122.330062"
"Kingdom of An Tir","Shire of Krakafjord","Vancouver, BC, Canada","https://www.facebook.com/groups/krakafjord","49.260872","-123.113952"
"Kingdom of An Tir","Shire of Lionsdale","Vancouver, BC, Canada","http://lionsdale.tirrigh.org/","49.260872","-123.113952"
"Kingdom of An Tir","Shire of Mountain Edge","Eugene, OR","https://mountainedge.antir.org","44.050505","-123.095051"
"Kingdom of An Tir","Shire of Myrtle Holt","Eugene, OR","http://legacy.antir.org/Map/branches.php?reg=Summits","44.050505","-123.095051"
"Kingdom of An Tir","Shire of Ramsgaard","Vancouver, BC, Canada","https://ramsgaard.tirrigh.org/","49.260872","-123.113952"
"Kingdom of An Tir","Shire of River's Bend","Seattle, WA","https://antir.sca.wiki/index.php/River%27s_Bend","47.603832","-122.330062"
"Kingdom of An Tir","Shire of Southmarch","Eugene, OR","https://southmarch.antir.sca.org/","44.050505","-123.095051"
"Kingdom of An Tir","Shire of Thornwold","Vancouver, BC, Canada","http://thornwold.tirrigh.org/","49.260872","-123.113952"
"Kingdom of An Tir","Shire of Tir Bannog","Vancouver, BC, Canada","http://tirbannog.tirrigh.org/","49.260872","-123.113952"
"Kingdom of An Tir","Shire of Tymberhavene","Eugene, OR","http://tymberhavene.antir.sca.org/","44.050505","-123.095051"
"Kingdom of Ansteorra","Barony of Bjornsborg","most of Texas and some of Oklahoma","https://ansteorra.org/bjornsborg","36.120464","-96.055789"
"Kingdom of Ansteorra","Barony of Bonwicke","the city mundanely known as Lubbock, Texas","https://ansteorra.org/bonwicke","36.739031","-101.495359"
"Kingdom of Ansteorra","Barony of Bordermarch","Beaumont, Texas","https://ansteorra.org/bordermarch","30.082934","-94.098428"
"Kingdom of Ansteorra","Barony of Bryn Gwlad","Texas","https://ansteorra.org/bryn-gwlad","31.263890","-98.545612"
"Kingdom of Ansteorra","Barony of Elfsea","Fort Worth","https://ansteorra.org/elfsea/","32.753177","-97.332746"
"Kingdom of Ansteorra","Barony of Loch Soilleir","most of Texas and Oklahoma","https://ansteorra.org/loch-soilleir/","36.120464","-96.055789"
"Kingdom of Ansteorra","Barony of Namron","Texas","https://ansteorra.org/namron","31.263890","-98.545612"
"Kingdom of Ansteorra","Barony of Northkeep","the area of Northeastern Oklahoma","https://ansteorra.org/northkeep","35.578992","-97.567589"
"Kingdom of Ansteorra","Barony of Wiesenfeuer","the Oklahoma City area","https://ansteorra.org/wiesenfeuer","35.578992","-97.567589"
"Kingdom of Ansteorra","Barony of the Eldern Hills","the Lawton / Fort Sill, Oklahoma area","https://ansteorra.org/eldern-hills/","35.578992","-97.567589"
"Kingdom of Ansteorra","Barony of the Stargate","two additional groups, the Barony of Ravensfort (Woodlands, Conroe, Huntsville) and the Barony of Loch Soilleir (Clear Lake, Galveston, and Brazoria C","https://ansteorra.org/stargate","29.387225","-94.992736"
"Kingdom of Ansteorra","Barony of the Steppes","Texas","https://ansteorra.org/steppes","31.263890","-98.545612"
"Kingdom of Ansteorra","Canton of Chemin Noir","the area in and around Bartlesville, OK","https://ansteorra.org/chemin-noir/","35.578992","-97.567589"
"Kingdom of Ansteorra","Canton of Glaslyn","Texas","https://ansteorra.org/glaslyn","31.263890","-98.545612"
"Kingdom of Ansteorra","Canton of Myrgenfeld","the area mundanely known as Guthrie, OK","https://ansteorra.org/myrgenfeld/","35.578992","-97.567589"
"Kingdom of Ansteorra","Canton of Skorragarðr","Lincoln, Okfuskee, Pottawatomie and Seminole counties in Oklahoma (see Maps page)","https://ansteorra.org/skorragardr/","35.580851","-96.600026"
"Kingdom of Ansteorra","Province of Mooneschadowe","the city of Stillwater, Oklahoma","https://ansteorra.org/mooneschadowe/","35.554502","-97.436624"
"Kingdom of Ansteorra","Riding of Marata","the area mundanely known as Enid","https://ansteorra.org/marata/","35.578992","-97.567589"
"Kingdom of Ansteorra","Shire of Adlersruhe","Amarillo, Texas","https://ansteorra.org/adlersruhe/","35.207290","-101.837119"
"Kingdom of Ansteorra","Shire of Brad Leah","a large area of Northern Texas encompassing Wichita Falls, Burkburnett, Iowa Park, Holliday, Olney, Vernon, Jacksboro, and the surrounding areas","https://ansteorra.org/brad-leah","35.283410","-95.481538"
"Kingdom of Ansteorra","Shire of Ffynnon Gath","the states of Oklahoma and Texas","https://ansteorra.org/ffynnon-gath/","35.578992","-97.567589"
"Kingdom of Ansteorra","Shire of Graywood","Lufkin, Nacogdoches, and Tyler, Texas","https://ansteorra.org/graywood/","36.739031","-101.495359"
"Kingdom of Ansteorra","Shire of Rosenfeld","Texas","https://ansteorra.org/rosenfeld","31.263890","-98.545612"
"Kingdom of Ansteorra","Shire of Seawinds","Texas","https://ansteorra.org/seawinds/","31.263890","-98.545612"
"Kingdom of Ansteorra","Shire of the Shadowlands","the area mundanely known as the greater Bryan-College Station area and surrounding counties","https://ansteorra.org/shadowlands","35.578992","-97.567589"
"Kingdom of Ansteorra","Stronghold of Hellsgate","parts of Texas and Oklahoma","https://ansteorra.org/hellsgate","35.506172","-97.512754"
"Kingdom of Artemisia","Barony of Arn Hold","Boise, ID and Nampa, ID","https://www.facebook.com/groups/baronyarnhold/","43.987352","-115.739019"
"Kingdom of Artemisia","Barony of Bronzehelm","Billings, MT","http://www.bronzehelm.org","45.787496","-108.496070"
"Kingdom of Artemisia","Barony of Gryphon's Lair","Ogden, UT","https://www.facebook.com/groups/gryphonslair/","41.223005","-111.973843"
"Kingdom of Artemisia","Barony of Loch Salann","Salt Lake City, UT","http://www.lochsalann.org","40.759620","-111.886797"
"Kingdom of Artemisia","Barony of One Thousand Eyes","Idaho Falls, ID","https://onethousandeyes.org","43.488791","-112.036280"
"Kingdom of Artemisia","Barony of Sentinels' Keep","Missoula/Butte, MT","https://www.sentinels-keep.org","46.022804","-112.552147"
"Kingdom of Artemisia","Shire of Arrow's Flight","Provo, UT","http://arrowsflight.org/","40.233729","-111.658709"
"Kingdom of Artemisia","Shire of Cote du Ciel","Logan/Willard/Brigham City , UT","https://www.facebook.com/groups/372899743885/","",""
"Kingdom of Artemisia","Shire of River Serponnde","Twin Falls, ID","https://www.facebook.com/groups/shireriverserpent","42.555854","-114.470068"
"Kingdom of Artemisia","Shire of Silver Keep","Bozeman. MT","https://www.facebook.com/groups/366020795445/","45.679429","-111.044047"
"Kingdom of Artemisia","Shire of Stan Wyrm","Great Falls, MT","https://www.facebook.com/groups/shireofstanwyrm/","47.504885","-111.291890"
"Kingdom of Artemisia","Shire of Stonegate","Pocatello, ID","https://www.facebook.com/ShireOfStonegate","42.862029","-112.450627"
"Kingdom of Artemisia","Shire of Windegate","Shelby, MT","https://www.facebook.com/groups/391521170049","48.505500","-111.856872"
"Kingdom of Atenveldt","Barony Of Mons Tonitrus","Arizona","http://bmmt.org","34.395342","-111.763275"
"Kingdom of Atenveldt","Barony of Atenveldt","Arizona","http://baronyofatenveldt.org","34.395342","-111.763275"
"Kingdom of Atenveldt","Barony of Ered Sul","Arizona","http://baronyoferedsul.org","34.395342","-111.763275"
"Kingdom of Atenveldt","Barony of Granite Mountain","Arizona","http://baronyofgranitemountain.org","34.395342","-111.763275"
"Kingdom of Atenveldt","Barony of Sun Dragon","Arizona","http://baronyofsundragon.org","34.395342","-111.763275"
"Kingdom of Atenveldt","Barony of Tir Ysgithr","Arizona","http://btysca.org","34.395342","-111.763275"
"Kingdom of Atenveldt","Barony of Twin Moons","Arizona","http://baronyoftwinmoons.org","34.395342","-111.763275"
"Kingdom of Atenveldt","Shire of Burning Sands","Arizona","http://burningsands.atenveldt.org","34.395342","-111.763275"
"Kingdom of Atenveldt","Shire of Windale","Arizona","http://windale.atenveldt.org","34.395342","-111.763275"
"Kingdom of Atlantia","Barony of Black Diamond","Cities of Bedford, Covington, Lexington and Lynchburg, Appomattox, Bedford, Campbell, Craig, Floyd, Giles, Montgomery, Pittsylvania, Pulaski, Radford, Roanoke, Rockbridge, Salem, Tazewll, Wise","http://black-diamond.atlantia.sca.org","37.305123","-79.247700"
"Kingdom of Atlantia","Barony of Bright Hills","Baltimore, Carrol, Cecil, Harford","http://brighthills.atlantia.sca.org","39.522004","-76.297143"
"Kingdom of Atlantia","Barony of Caer Mear","Cities of Colonial Heights, Hopewell, Petersburg, and Richmond, Albemarle, Amelia, Caroline, Charles City, Charlotte, Chesterfield, Dinwiddie, Fluvanna, Gloucester, Goochland, Hanover, Henrico, King and Queen , King William, Louisa, Mathews, Middlesex, New Kent, Powhatan, Prince George, Spotsylvania","http://caermear.atlantia.sca.org","37.466621","-77.827797"
"Kingdom of Atlantia","Barony of Dun Carraig","Calvert, Charles, St","http://www.duncarraig.net","38.514007","-76.782805"
"Kingdom of Atlantia","Barony of Hawkwood","Buncombe, Cherokee, Clay, Graham, Haywood, Henderson, Jackson, Macon, Madison, Mcdowell, Polk, Rutherford, Swain, Transylvania, Yancey","http://hawkwood.atlantia.sca.org","35.341495","-83.272930"
"Kingdom of Atlantia","Barony of Hidden Mountain","Beaufort, Colleton, Georgetown, Jasper, Orangeburg, Williamsburg","http://hiddenmountain.atlantia.sca.org","33.023499","-80.377975"
"Kingdom of Atlantia","Barony of Highland Foorde","Allegany, Frederick, Garrett, Washington","http://highland-foorde.atlantia.sca.org","39.562883","-78.256707"
"Kingdom of Atlantia","Barony of Lochmere","Anne Arundel, Howard","http://lochmere.atlantia.sca.org","39.147887","-76.576076"
"Kingdom of Atlantia","Barony of Marinus","Cities of Cheasapeake, Norfolk, Portsmouth, Suffolk and Virgina Beach, Isle of Wight","http://www.baronyofmarinus.com","36.840076","-76.563561"
"Kingdom of Atlantia","Barony of Nottinghill Coill","Abbeville, Aiken, Allendale, Bamberg, Barnwell, Calhoun, Chester, Clarendon, Colleton, Edgefield, Greenwood, Hampton, Jasper, Lancaster, McCormick, Newberry, Orangeburg, Saldua, York","http://www.nottinghillcoill.atlantia.sca.org","33.482701","-81.431786"
"Kingdom of Atlantia","Barony of Ponte Alto","Arlington, Fairfax","http://pontealto.atlantia.sca.org","38.881265","-77.120917"
"Kingdom of Atlantia","Barony of Raven's Cove","Onslow","http://ravenscove.atlantia.sca.org","37.693675","-77.603221"
"Kingdom of Atlantia","Barony of Sacred Stone","Polk, Rowan, Rutherford, Wilkes, Ashe, Alleghany, Surry, Stokes, Rockingham, Watauga, Yadkin, Forsyth, Guilford, Avery, Caldwell, Alexander, Iredell, Davidson, Randolph, Burke, Catawba, Cleveland, Lincoln, Gason, Mecklenburt, Cabbarus, Stanly, Anson and Union","http://sacredstone.atlantia.sca.org","35.908526","-81.395258"
"Kingdom of Atlantia","Barony of Stierbach","Clarke, Essex, Fairfax, Fauquier, Frederick, King George, Loudoun, Orange, Prince William, Rappahannock, Russell, Spotsylvania, Stafford, Warren, Westmoreland","http://stierbach.org","38.682021","-77.579602"
"Kingdom of Atlantia","Barony of Storvik","District of Columbia, Prince Georges, Montgomery","http://storvik.atlantia.sca.org","39.140627","-77.207561"
"Kingdom of Atlantia","Barony of Tir-y-Don","Cities of Hampton, Newport News and Poquoson, Gloucester, James City, York","http://tirydon.atlantia.sca.org","37.329805","-76.624131"
"Kingdom of Atlantia","Barony of Windmasters' Hill","Almance, Caswell, Chatham, Cumberland, Durham, Franklin, Granville, Halifax, Harnett, Hoke, Johnston, Lee, Moore, Nash, Orange, Person, Robeson, Rockingham, Sampson, Scotland, Vance, Wake, Warren, Wayne, Wilson","http://www.windmastershill.org","35.857161","-78.916468"
"Kingdom of Atlantia","Canton of Aire Faucon","Cleveland, Gaston, Lincoln, Rutherford","http://airefaucon.atlantia.sca.org","35.375443","-81.459589"
"Kingdom of Atlantia","Canton of Attilium","Bladen, Cumberland, Hoke, Robeson, Sampson, Scotland","https://www.windmastershill.org/wordpress/cantons/attilium/","34.870095","-78.932046"
"Kingdom of Atlantia","Canton of Brockore Abbey","Chesterfield, Darlington, Kershaw, Lee, Marlboro, Sumter","https://brockore.wixsite.com/brockore-abbey","34.331212","-80.150750"
"Kingdom of Atlantia","Canton of Buckston-on-Eno","Durham, Granville","http://buckston.atlantia.sca.org","36.169572","-78.767277"
"Kingdom of Atlantia","Canton of Charlesbury Crossing","Anson, Cabarrus, Mecklenburg, Stanly, Union","http://charlesbury.atlantia.sca.org","35.182767","-80.445219"
"Kingdom of Atlantia","Canton of Cydllan Downs","Fairfield, Lexington, Richland","http://www.nottinghillcoill.atlantia.sca.org/Cyddlan_Downs.html","34.108955","-81.101953"
"Kingdom of Atlantia","Canton of Elvegast","Wake","http://elvegast.atlantia.sca.org","37.568193","-76.429114"
"Kingdom of Atlantia","Canton of Falconcree","Cherokee, Greenville, Laurens, Spartanburg, Union","http://falconcree.org","34.797622","-81.923303"
"Kingdom of Atlantia","Canton of Kapellenberg","Durham, Orange","http://kapellenberg.atlantia.sca.org","36.039321","-78.996213"
"Kingdom of Atlantia","Canton of Middlegate","Davidson, Guilford, Randolph, Rockingham, Stokes","http://middlegate.atlantia.sca.org","36.079375","-79.954165"
"Kingdom of Atlantia","Canton of Misty Marsh by the Sea","Clarendon, Dillon, Florence, Horry, Marion","http://www.hiddenmountain.atlantia.sca.org/misty-marsh-by-the-sea/","34.006220","-79.527056"
"Kingdom of Atlantia","Canton of Moorhaven","City of Myrtle Beach","http://www.hiddenmountain.atlantia.sca.org/canton-of-moorhaven/","33.661391","-78.940302"
"Kingdom of Atlantia","Canton of Nimenefeld","Harnett, Johnston, Wake","https://www.windmastershill.org/wordpress/cantons/nimenefeld/","35.571537","-78.617043"
"Kingdom of Atlantia","Canton of Ritterwald","Aiken, Allendale, Barnwell, Edgefield","http://ritterwald.atlantia.sca.org/","33.390876","-81.588300"
"Kingdom of Atlantia","Canton of Saint Georges","Anderson, Oconee, Pickens","http://stgeorge.atlantia.sca.org","34.725438","-82.827436"
"Kingdom of Atlantia","Canton of Salesberie Glen","Rowan","http://salesberieglen.atlantia.sca.org","35.631595","-80.517175"
"Kingdom of Atlantia","Canton of Stormwall","Cherokee, Clay, Graham, Haywood, Jackson, Macon, Swain","https://sites.google.com/site/stormwallsca/","35.253458","-83.530361"
"Kingdom of Atlantia","Canton of Sudentorre","Caroline, Fredericksburg, King George, Spotsylvania, Stafford","http://sudentorre.atlantia.sca.org","38.228870","-77.417468"
"Kingdom of Atlantia","Canton of Tear-Sea's Shore","Berkeley, Charleston, Colleton, Dorchester","http://www.hiddenmountain.atlantia.sca.org/canton-of-tear-seas-shore/","32.978140","-80.181739"
"Kingdom of Atlantia","Shire of Border Vale Keep","City of Augusta","http://bordervalekeep.atlantia.sca.org","37.399255","-79.223117"
"Kingdom of Atlantia","Shire of Isenfir","Cities of Charlotteville, Harrisonburg and Staunton, Albemarle, Greene, Madison, Nelson, Orange, Rockingham, Upper Augusta","http://isenfir.atlantia.sca.org","38.122739","-78.565296"
"Kingdom of Atlantia","Shire of Roxbury Mill","Montgomery","http://roxburymill.atlantia.sca.org","37.157733","-80.319602"
"Kingdom of Atlantia","Shire of Seareach","Brunswick, Columbus, Duplin, New Hanover, Kure Beach, Onslow, Pender, Sampson","https://www.seareach.atlantia.sca.org/","34.451640","-78.022272"
"Kingdom of Atlantia","Shire of Spiaggia Levantina","Eastern Shore of Maryland","http://www.spiaggia-levantina.org","38.214037","-75.682877"
"Kingdom of Atlantia","Shire of Ursus Bay","Craven County","http://ursus-bay.atlantia.sca.org/","35.080857","-77.043998"
"Kingdom of Avacal","Barony of Borealis","Edmonton","","53.546205","-113.491241"
"Kingdom of Avacal","Barony of Montengarde","Calgary","http://www.montengarde.org","51.045606","-114.057541"
"Kingdom of Avacal","Barony of Myrgan Wood","Saskatoon","http://www.myrganwood.org/","52.131802","-106.660767"
"Kingdom of Avacal","Shire of Ayresgarde","Cranbrook and Kimberly, BC and area","","",""
"Kingdom of Avacal","Shire of Bordergate","Cold Lake, AB and area","","",""
"Kingdom of Avacal","Shire of Sigelhundas","Regina, SK and area","","",""
"Kingdom of Avacal","Shire of Valley Wold","Moose Jaw, SK and area","https://www.facebook.com/groups/valleywold","",""
"Kingdom of Avacal","Shire of Vinjar","Grande Prairie, AB and area","https://www.facebook.com/groups/274358419340188","",""
"Kingdom of Avacal","Shire of Windwyrm","Lethbridge, AB and area","https://shire-of-windwyrm.carrd.co/","49.842087","-112.678755"
"Kingdom of Caid","Barony of Altavia","San Fernando Valley, north of Los Angeles, Ca., including Canyon Country","https://altavia.sca-caid.org/","32.733361","-117.192246"
"Kingdom of Caid","Barony of Calafia","San Diego and Imperial Counties","https://places.sca-caid.org/calafia/","32.733361","-117.192246"
"Kingdom of Caid","Barony of Dreiburgen","Riverside and San Bernardino counties","https://dreiburgen.sca-caid.org/","33.982495","-117.374238"
"Kingdom of Caid","Barony of Dun Or","Antelope Valley (including Lancaster and Palmdale), CA, Tehachapi, CA, California City, CA, and Edwards AFB","https://dunor.sca-caid.org/","38.708236","-121.329951"
"Kingdom of Caid","Barony of Gyldenholt","Orange County","http://places.sca-caid.org/Gyldenholt","33.750631","-117.872231"
"Kingdom of Caid","Barony of Lyondemere","South Bay and Long Beach areas of Los Angeles County","https://lyondemere.sca-caid.org/","33.305477","-118.343230"
"Kingdom of Caid","Barony of Naevehjem","Centered around Ridgecrest, CA; includes the Owens Valley","http://places.sca-caid.org/naevehjem","34.822571","-118.943890"
"Kingdom of Caid","Barony of Nordwache","Madera, Fresno, Kings, and Tulare Counties","http://places.sca-caid.org/nordwache","36.640486","-119.794990"
"Kingdom of Caid","Barony of Starkhafn","Southern Nevada (Clark County)","https://starkhafn.sca-caid.org/","36.081002","-115.280982"
"Kingdom of Caid","Barony of Western Seas","The Hawaiian Islands","https://westernseas.sca-caid.org/","34.272788","-119.260953"
"Kingdom of Caid","Barony of Wintermist","Kern County","https://places.sca-caid.org/wintermist/","35.314570","-118.753822"
"Kingdom of Caid","Barony of the Angels","Los Angels Area","http://places.sca-caid.org/angels","34.266152","-118.382632"
"Kingdom of Caid","Shire Of Carreg Wen","Lompoc","https://carreg-wen.sca-caid.org/","34.639150","-120.457901"
"Kingdom of Caid","Shire of Al-Sahid","Barstow/Victorville, Wrightwood, Big Bear","http://places.sca-caid.org/alsahid/","34.572465","-117.275845"
"Kingdom of Caid","Shire of Darach","Ventura County","https://places.sca-caid.org/darach/","34.445825","-119.077936"
"Kingdom of Caid","Shire of the Isles","Santa Barbara County","https://places.sca-caid.org/isles","34.713653","-119.985823"
"Kingdom of Calontir","Barony Of Vatavia","Missouri","https://vatavia.calontir.org","38.760481","-92.561787"
"Kingdom of Calontir","Barony of Coeur d'Ennui","Des Moines, Iowa","https://cde.calontir.org","41.586865","-93.624949"
"Kingdom of Calontir","Barony of Forgotten Sea","Missouri","https://forgottensea.calontir.org","38.760481","-92.561787"
"Kingdom of Calontir","Barony of Mag Mor","Missouri","https://magmor.calontir.org","38.760481","-92.561787"
"Kingdom of Calontir","Barony of Three Rivers","Missouri","https://b3r.calontir.org","38.760481","-92.561787"
"Kingdom of Calontir","Barony of the Lonely Tower","Missouri","https://lonelytower.calontir.org","38.760481","-92.561787"
"Kingdom of Calontir","Shire of Cum An Iolair","southern Johnson County and all of Miami county Kansas","https://shirecai.calontir.org","37.648546","-97.466668"
"Kingdom of Calontir","Shire of Heraldshill","Missouri","https://heraldshill.calontir.org","38.760481","-92.561787"
"Kingdom of Calontir","Shire of Lilies War","Missouri","https://lilieswar.org/","38.760481","-92.561787"
"Kingdom of Calontir","Shire of Lost Moor","Missouri","https://lostmoor.calontir.org","38.760481","-92.561787"
"Kingdom of Drachenwald","Barony of Aarnimetsä","Finland","","47.417311","-91.246415"
