kingdom,group,type,calendar_id,website,social,date_last_checked
Kingdom of An Tir,College of Lyonsmarche,college,No Calendar Listed,http://lyonsmarche.antir.org/,,2026-06-22
Kingdom of An Tir,Principality of Tir Righ,principality,No Calendar Listed,http://www.tirrigh.org/,,2026-06-22
Kingdom of An Tir,Principality of the Summits,principality,No Calendar Listed,http://summits.antir.sca.org/,,2026-06-22
Kingdom of An Tir,Shire of Appledore,shire,No Calendar Listed,https://www.facebook.com/AppledoreSCA,,2026-06-22
Kingdom of An Tir,Shire of Briaroak,shire,No Calendar Listed,http://briaroak.antir.sca.org/,,2026-06-22
Kingdom of An Tir,Shire of Coeur du Val,shire,No Calendar Listed,http://cdv.antir.org/,,2026-06-22
Kingdom of An Tir,Shire of Coill Mhór,shire,No Calendar Listed,https://coillmhor.tirrigh.org/,,2026-06-22
Kingdom of An Tir,Shire of Cold Keep,shire,No Calendar Listed,https://coldkeep.tirrigh.org/,,2026-06-22
Kingdom of An Tir,Shire of Corvaria,shire,No Calendar Listed,http://corvaria.antir.sca.org/wp/,,2026-06-22
Kingdom of An Tir,Shire of Danescombe,shire,No Calendar Listed,https://danescombe.tirrigh.org/,,2026-06-22
Kingdom of An Tir,Shire of Hartwood,shire,No Calendar Listed,http://hartwood.tirrigh.org/,,2026-06-22
Kingdom of An Tir,Shire of Hauksgarðr,shire,No Calendar Listed,https://hauksgardr.antir.org/,,2026-06-22
Kingdom of An Tir,Shire of Krakafjord,shire,No Calendar Listed,https://www.facebook.com/groups/krakafjord,,2026-06-22
Kingdom of An Tir,Shire of Lionsdale,shire,No Calendar Listed,http://lionsdale.tirrigh.org/,,2026-06-22
Kingdom of An Tir,Shire of Mountain Edge,shire,No Calendar Listed,https://mountainedge.antir.org,,2026-06-22
Kingdom of An Tir,Shire of Myrtle Holt,shire,No Calendar Listed,,,2026-06-22
Kingdom of An Tir,Shire of Ramsgaard,shire,No Calendar Listed,https://ramsgaard.tirrigh.org/,,2026-06-22
Kingdom of An Tir,Shire of River's Bend,shire,No Calendar Listed,https://antir.sca.wiki/index.php/River%27s_Bend,,2026-06-22
Kingdom of An Tir,Shire of Southmarch,shire,No Calendar Listed,https://southmarch.antir.sca.org/,,2026-06-22
Kingdom of An Tir,Shire of Thornwold,shire,No Calendar Listed,http://thornwold.tirrigh.org/,,2026-06-22
Kingdom of An Tir,Shire of Tir Bannog,shire,No Calendar Listed,,,2026-06-22
Kingdom of An Tir,Shire of Tymberhavene,shire,No Calendar Listed,http://tymberhavene.antir.sca.org/,,2026-06-22
Kingdom of Ansteorra,Barony of Bjornsborg,barony,No Calendar Listed,https://ansteorra.org/bjornsborg,,2026-06-22
Kingdom of Ansteorra,Barony of Bonwicke,barony,No Calendar Listed,https://ansteorra.org/bonwicke,,2026-06-22
Kingdom of Ansteorra,Barony of Bordermarch,barony,No Calendar Listed,https://ansteorra.org/bordermarch,,2026-06-22
Kingdom of Ansteorra,Barony of Bryn Gwlad,barony,No Calendar Listed,https://ansteorra.org/bryn-gwlad,,2026-06-22
Kingdom of Ansteorra,Barony of Elfsea,barony,No Calendar Listed,https://ansteorra.org/elfsea/,,2026-06-22
Kingdom of Ansteorra,Barony of Loch Soilleir,barony,No Calendar Listed,https://ansteorra.org/loch-soilleir/,,2026-06-22
Kingdom of Ansteorra,Barony of Namron,barony,No Calendar Listed,https://ansteorra.org/namron,,2026-06-22
Kingdom of Ansteorra,Barony of Northkeep,barony,No Calendar Listed,https://ansteorra.org/northkeep,,2026-06-22
Kingdom of Ansteorra,Barony of Wiesenfeuer,barony,No Calendar Listed,https://ansteorra.org/wiesenfeuer,,2026-06-22
Kingdom of Ansteorra,Barony of the Eldern Hills,barony,No Calendar Listed,https://ansteorra.org/eldern-hills/,,2026-06-22
Kingdom of Ansteorra,Barony of the Stargate,barony,No Calendar Listed,https://ansteorra.org/stargate,,2026-06-22
Kingdom of Ansteorra,Barony of the Steppes,barony,No Calendar Listed,https://ansteorra.org/steppes,,2026-06-22
Kingdom of Ansteorra,Canton of Chemin Noir,canton,No Calendar Listed,https://ansteorra.org/chemin-noir/,,2026-06-22
Kingdom of Ansteorra,Canton of Glaslyn,canton,No Calendar Listed,https://ansteorra.org/glaslyn,,2026-06-22
Kingdom of Ansteorra,Canton of Myrgenfeld,canton,No Calendar Listed,https://ansteorra.org/myrgenfeld/,,2026-06-22
Kingdom of Ansteorra,Canton of Skorragarðr,canton,No Calendar Listed,https://ansteorra.org/skorragardr/,,2026-06-22
Kingdom of Ansteorra,Province of Mooneschadowe,province,No Calendar Listed,https://ansteorra.org/mooneschadowe/,,2026-06-22
Kingdom of Ansteorra,Riding of Marata,riding,No Calendar Listed,https://ansteorra.org/marata/,,2026-06-22
Kingdom of Ansteorra,Shire of Adlersruhe,shire,No Calendar Listed,https://ansteorra.org/adlersruhe/,,2026-06-22
Kingdom of Ansteorra,Shire of Brad Leah,shire,No Calendar Listed,https://ansteorra.org/brad-leah,,2026-06-22
Kingdom of Ansteorra,Shire of Ffynnon Gath,shire,No Calendar Listed,https://ansteorra.org/ffynnon-gath/,,2026-06-22
Kingdom of Ansteorra,Shire of Graywood,shire,No Calendar Listed,https://ansteorra.org/graywood/,,2026-06-22
Kingdom of Ansteorra,Shire of Rosenfeld,shire,No Calendar Listed,https://ansteorra.org/rosenfeld,,2026-06-22
Kingdom of Ansteorra,Shire of Seawinds,shire,No Calendar Listed,https://ansteorra.org/seawinds/,,2026-06-22
Kingdom of Ansteorra,Shire of the Shadowlands,shire,No Calendar Listed,https://ansteorra.org/shadowlands,,2026-06-22
Kingdom of Ansteorra,Stronghold of Hellsgate,stronghold,No Calendar Listed,https://ansteorra.org/hellsgate,,2026-06-22
Kingdom of Artemisia,Barony of Arn Hold,barony,No Calendar Listed,https://www.facebook.com/groups/baronyarnhold/,,2026-06-22
Kingdom of Artemisia,Barony of Bronzehelm,barony,No Calendar Listed,http://www.bronzehelm.org,,2026-06-22
Kingdom of Artemisia,Barony of Gryphon's Lair,barony,No Calendar Listed,https://www.facebook.com/groups/gryphonslair/,,2026-06-22
Kingdom of Artemisia,Barony of Loch Salann,barony,No Calendar Listed,http://www.lochsalann.org,,2026-06-22
Kingdom of Artemisia,Barony of One Thousand Eyes,barony,No Calendar Listed,,,2026-06-22
Kingdom of Artemisia,Barony of Sentinels' Keep,barony,No Calendar Listed,https://www.sentinels-keep.org,,2026-06-22
Kingdom of Artemisia,Shire of Arrow's Flight,shire,No Calendar Listed,http://arrowsflight.org/,,2026-06-22
Kingdom of Artemisia,Shire of Cote du Ciel,shire,No Calendar Listed,https://www.facebook.com/groups/372899743885/,,2026-06-22
Kingdom of Artemisia,Shire of River Serponnde,shire,No Calendar Listed,https://www.facebook.com/groups/shireriverserpent,,2026-06-22
Kingdom of Artemisia,Shire of Silver Keep,shire,No Calendar Listed,https://www.facebook.com/groups/366020795445/,,2026-06-22
Kingdom of Artemisia,Shire of Stan Wyrm,shire,No Calendar Listed,https://www.facebook.com/groups/shireofstanwyrm/,,2026-06-22
Kingdom of Artemisia,Shire of Stonegate,shire,No Calendar Listed,https://www.facebook.com/ShireOfStonegate,,2026-06-22
Kingdom of Artemisia,Shire of Windegate,shire,No Calendar Listed,https://www.facebook.com/groups/391521170049,,2026-06-22
Kingdom of Atenveldt,Barony Of Mons Tonitrus,barony,No Calendar Listed,http://bmmt.org,,2026-06-22
Kingdom of Atenveldt,Barony of Atenveldt,barony,No Calendar Listed,http://baronyofatenveldt.org,,2026-06-22
Kingdom of Atenveldt,Barony of Ered Sul,barony,No Calendar Listed,http://baronyoferedsul.org,,2026-06-22
Kingdom of Atenveldt,Barony of Granite Mountain,barony,No Calendar Listed,http://baronyofgranitemountain.org,,2026-06-22
Kingdom of Atenveldt,Barony of Sun Dragon,barony,No Calendar Listed,http://baronyofsundragon.org,,2026-06-22
Kingdom of Atenveldt,Barony of Tir Ysgithr,barony,No Calendar Listed,http://btysca.org,,2026-06-22
Kingdom of Atenveldt,Barony of Twin Moons,barony,No Calendar Listed,http://baronyoftwinmoons.org,,2026-06-22
Kingdom of Atenveldt,Shire of Burning Sands,shire,No Calendar Listed,http://burningsands.atenveldt.org,,2026-06-22
Kingdom of Atenveldt,Shire of Windale,shire,No Calendar Listed,http://windale.atenveldt.org,,2026-06-22
Kingdom of Atlantia,Barony of Black Diamond,barony,seneschal@blackdiamond.atlantia.sca.org,http://black-diamond.atlantia.sca.org,,2026-06-22
Kingdom of Atlantia,Barony of Bright Hills,barony,2gskgfm3tsnsjmoe6go08lb56o@group.calendar.google.com,http://brighthills.atlantia.sca.org,,2026-06-22
Kingdom of Atlantia,Barony of Caer Mear,barony,uk9bjrsu1loit3j4bjai8b07g0@group.calendar.google.com,http://caermear.atlantia.sca.org,,2026-06-22
Kingdom of Atlantia,Barony of Dun Carraig,barony,No Calendar Listed,http://www.duncarraig.net,,2026-06-22
Kingdom of Atlantia,Barony of Hawkwood,barony,No Calendar Listed,http://hawkwood.atlantia.sca.org,,2026-06-22
Kingdom of Atlantia,Barony of Hidden Mountain,barony,tribe-rest:https://hiddenmountain.atlantia.sca.org,http://hiddenmountain.atlantia.sca.org,,2026-06-22
Kingdom of Atlantia,Barony of Highland Foorde,barony,No Calendar Listed,http://highland-foorde.atlantia.sca.org,,2026-06-22
Kingdom of Atlantia,Barony of Lochmere,barony,c_e5a20ea8b028aef810a6015b8e97e624de4b494086ab9d906d6634066a6cc18e@group.calendar.google.com,http://lochmere.atlantia.sca.org,,2026-06-22
Kingdom of Atlantia,Barony of Marinus,barony,17328f6a1f279a5ba835356980da620d0f23142b64be07aeeeb3588e3e58a9c9@group.calendar.google.com,http://www.baronyofmarinus.com,,2026-06-22
Kingdom of Atlantia,Barony of Nottinghill Coill,barony,No Calendar Listed,http://www.nottinghillcoill.atlantia.sca.org,,2026-06-22
Kingdom of Atlantia,Barony of Ponte Alto,barony,9p6lpvucu4govg1mb83ea4cntg@group.calendar.google.com,http://pontealto.atlantia.sca.org,,2026-06-22
Kingdom of Atlantia,Barony of Raven's Cove,barony,p2le0sqe2up07bih2te3solrhs@group.calendar.google.com,http://ravenscove.atlantia.sca.org,,2026-06-22
Kingdom of Atlantia,Barony of Sacred Stone,barony,cea37ntjlu57osemvnn2787584@group.calendar.google.com,http://sacredstone.atlantia.sca.org,,2026-06-22
Kingdom of Atlantia,Barony of Stierbach,barony,4rp7njkb496vkrej5ojnob7060@group.calendar.google.com,http://stierbach.org,,2026-06-22
Kingdom of Atlantia,Barony of Stierbach (Workshops),barony,hgo8uo0922ooib7hlvmshevg84@group.calendar.google.com,http://stierbach.org,,2026-06-22
Kingdom of Atlantia,Barony of Storvik,barony,7lkik5usej15uli6d62cb6rt00@group.calendar.google.com,http://storvik.atlantia.sca.org,,2026-06-22
Kingdom of Atlantia,Barony of Tir-y-Don,barony,No Calendar Listed,http://tirydon.atlantia.sca.org,,2026-06-22
Kingdom of Atlantia,Barony of Windmasters' Hill,barony,simcal:http://www.windmastershill.org/,http://www.windmastershill.org,,2026-06-22
Kingdom of Atlantia,Canton of Aire Faucon,canton,No Calendar Listed,http://airefaucon.atlantia.sca.org,,2026-06-22
Kingdom of Atlantia,Canton of Attilium,canton,No Calendar Listed,https://www.windmastershill.org/wordpress/cantons/attilium/,,2026-06-22
Kingdom of Atlantia,Canton of Brockore Abbey,canton,No Calendar Listed,https://brockore.wixsite.com/brockore-abbey,,2026-06-22
Kingdom of Atlantia,Canton of Buckston-on-Eno,canton,No Calendar Listed,http://buckston.atlantia.sca.org,,2026-06-22
Kingdom of Atlantia,Canton of Charlesbury Crossing,canton,No Calendar Listed,http://charlesbury.atlantia.sca.org,,2026-06-22
Kingdom of Atlantia,Canton of Cydllan Downs,canton,No Calendar Listed,http://www.nottinghillcoill.atlantia.sca.org/Cyddlan_Downs.html,,2026-06-22
Kingdom of Atlantia,Canton of Elvegast,canton,No Calendar Listed,http://elvegast.atlantia.sca.org,,2026-06-22
Kingdom of Atlantia,Canton of Falconcree,canton,No Calendar Listed,http://falconcree.org,,2026-06-22
Kingdom of Atlantia,Canton of Haukesgate,canton,8c8f5mon8e5q9q2thkfj57d964@group.calendar.google.com,,,2026-06-22
Kingdom of Atlantia,Canton of Kapellenberg,canton,No Calendar Listed,http://kapellenberg.atlantia.sca.org,,2026-06-22
Kingdom of Atlantia,Canton of Middlegate,canton,No Calendar Listed,http://middlegate.atlantia.sca.org,,2026-06-22
Kingdom of Atlantia,Canton of Misty Marsh by the Sea,canton,No Calendar Listed,http://www.hiddenmountain.atlantia.sca.org/misty-marsh-by-the-sea/,,2026-06-22
Kingdom of Atlantia,Canton of Moorhaven,canton,No Calendar Listed,http://www.hiddenmountain.atlantia.sca.org/canton-of-moorhaven/,,2026-06-22
Kingdom of Atlantia,Canton of Nimenefeld,canton,No Calendar Listed,https://www.windmastershill.org/wordpress/cantons/nimenefeld/,,2026-06-22
Kingdom of Atlantia,Canton of Ritterwald,canton,No Calendar Listed,http://ritterwald.atlantia.sca.org/,,2026-06-22
Kingdom of Atlantia,Canton of Saint Georges,canton,No Calendar Listed,http://stgeorge.atlantia.sca.org,,2026-06-22
Kingdom of Atlantia,Canton of Salesberie Glen,canton,No Calendar Listed,http://salesberieglen.atlantia.sca.org,,2026-06-22
Kingdom of Atlantia,Canton of Stormwall,canton,noa4reqbs11esg21gjjefa9k5g@group.calendar.google.com,https://sites.google.com/site/stormwallsca/,,2026-06-22
Kingdom of Atlantia,Canton of Sudentorre,canton,No Calendar Listed,http://sudentorre.atlantia.sca.org,,2026-06-22
Kingdom of Atlantia,Canton of Tear-Sea's Shore,canton,No Calendar Listed,http://www.hiddenmountain.atlantia.sca.org/canton-of-tear-seas-shore/,,2026-06-22
Kingdom of Atlantia,Shire of Border Vale Keep,shire,No Calendar Listed,http://bordervalekeep.atlantia.sca.org,,2026-06-22
Kingdom of Atlantia,Shire of Isenfir,shire,No Calendar Listed,http://isenfir.atlantia.sca.org,,2026-06-22
Kingdom of Atlantia,Shire of Roxbury Mill,shire,No Calendar Listed,http://roxburymill.atlantia.sca.org,,2026-06-22
Kingdom of Atlantia,Shire of Seareach,shire,No Calendar Listed,https://www.seareach.atlantia.sca.org/,,2026-06-22
Kingdom of Atlantia,Shire of Spiaggia Levantina,shire,No Calendar Listed,http://www.spiaggia-levantina.org,,2026-06-22
Kingdom of Atlantia,Shire of Ursus Bay,shire,No Calendar Listed,http://ursus-bay.atlantia.sca.org/,,2026-06-22
Kingdom of Avacal,Barony of Borealis,barony,No Calendar Listed,,,2026-06-22
Kingdom of Avacal,Barony of Montengarde,barony,No Calendar Listed,http://www.montengarde.org,,2026-06-22
Kingdom of Avacal,Barony of Myrgan Wood,barony,No Calendar Listed,http://www.myrganwood.org/,,2026-06-22
Kingdom of Avacal,Shire of Ayresgarde,shire,No Calendar Listed,,,2026-06-22
Kingdom of Avacal,Shire of Bordergate,shire,No Calendar Listed,,,2026-06-22
Kingdom of Avacal,Shire of Sigelhundas,shire,No Calendar Listed,,,2026-06-22
Kingdom of Avacal,Shire of Valley Wold,shire,No Calendar Listed,https://www.facebook.com/groups/valleywold,,2026-06-22
Kingdom of Avacal,Shire of Vinjar,shire,No Calendar Listed,https://www.facebook.com/groups/274358419340188,,2026-06-22
Kingdom of Avacal,Shire of Windwyrm,shire,No Calendar Listed,https://shire-of-windwyrm.carrd.co/,,2026-06-22
Kingdom of Caid,Barony of Altavia,barony,No Calendar Listed,https://altavia.sca-caid.org/,,2026-06-22
Kingdom of Caid,Barony of Calafia,barony,No Calendar Listed,https://places.sca-caid.org/calafia/,,2026-06-22
Kingdom of Caid,Barony of Dreiburgen,barony,No Calendar Listed,https://dreiburgen.sca-caid.org/,,2026-06-22
Kingdom of Caid,Barony of Dun Or,barony,No Calendar Listed,https://dunor.sca-caid.org/,,2026-06-22
Kingdom of Caid,Barony of Gyldenholt,barony,No Calendar Listed,http://places.sca-caid.org/Gyldenholt,,2026-06-22
Kingdom of Caid,Barony of Lyondemere,barony,No Calendar Listed,https://lyondemere.sca-caid.org/,,2026-06-22
Kingdom of Caid,Barony of Naevehjem,barony,No Calendar Listed,http://places.sca-caid.org/naevehjem,,2026-06-22
Kingdom of Caid,Barony of Nordwache,barony,No Calendar Listed,http://places.sca-caid.org/nordwache,,2026-06-22
Kingdom of Caid,Barony of Starkhafn,barony,No Calendar Listed,https://starkhafn.sca-caid.org/,,2026-06-22
Kingdom of Caid,Barony of Western Seas,barony,No Calendar Listed,https://westernseas.sca-caid.org/,,2026-06-22
Kingdom of Caid,Barony of Wintermist,barony,No Calendar Listed,https://places.sca-caid.org/wintermist/,,2026-06-22
Kingdom of Caid,Barony of the Angels,barony,No Calendar Listed,http://places.sca-caid.org/angels,,2026-06-22
Kingdom of Caid,Shire Of Carreg Wen,shire,No Calendar Listed,https://carreg-wen.sca-caid.org/,,2026-06-22
Kingdom of Caid,Shire of Al-Sahid,shire,No Calendar Listed,http://places.sca-caid.org/alsahid/,,2026-06-22
Kingdom of Caid,Shire of Darach,shire,No Calendar Listed,https://places.sca-caid.org/darach/,,2026-06-22
Kingdom of Caid,Shire of the Isles,shire,No Calendar Listed,https://places.sca-caid.org/isles,,2026-06-22
Kingdom of Calontir,Barony Of Vatavia,barony,No Calendar Listed,https://vatavia.calontir.org,,2026-06-22
Kingdom of Calontir,Barony of Coeur d'Ennui,barony,No Calendar Listed,https://cde.calontir.org,,2026-06-22
Kingdom of Calontir,Barony of Forgotten Sea,barony,No Calendar Listed,https://forgottensea.calontir.org,,2026-06-22
Kingdom of Calontir,Barony of Mag Mor,barony,No Calendar Listed,https://magmor.calontir.org,,2026-06-22
Kingdom of Calontir,Barony of Three Rivers,barony,No Calendar Listed,https://b3r.calontir.org,,2026-06-22
Kingdom of Calontir,Barony of the Lonely Tower,barony,No Calendar Listed,https://lonelytower.calontir.org,,2026-06-22
Kingdom of Calontir,Shire of Cum An Iolair,shire,No Calendar Listed,https://shirecai.calontir.org,,2026-06-22
Kingdom of Calontir,Shire of Heraldshill,shire,No Calendar Listed,https://heraldshill.calontir.org,,2026-06-22
Kingdom of Calontir,Shire of Lost Moor,shire,No Calendar Listed,https://lostmoor.calontir.org,,2026-06-22
Kingdom of Drachenwald,Barony of Aarnimetsä,barony,No Calendar Listed,http://www.aarnimetsa.org,,2026-06-22
Kingdom of Drachenwald,Barony of Eplaheimr,barony,No Calendar Listed,http://eplaheimr.org,,2026-06-22
Kingdom of Drachenwald,Barony of Gotvik,barony,No Calendar Listed,http://www.gotvik.se,,2026-06-22
Kingdom of Drachenwald,Barony of Knights Crossing,barony,No Calendar Listed,https://www.knightscrossing.org,,2026-06-22
Kingdom of Drachenwald,Barony of Styringheim,barony,No Calendar Listed,https://www.styringheim.se,,2026-06-22
Kingdom of Drachenwald,Canton of Drei Eichen,canton,No Calendar Listed,http://dreieichen.jimdo.com,,2026-06-22
Kingdom of Drachenwald,Canton of Hukka,canton,No Calendar Listed,http://www.hukka.org,,2026-06-22
Kingdom of Drachenwald,Canton of Humalasalo,canton,No Calendar Listed,http://humalasalo.net,,2026-06-22
Kingdom of Drachenwald,Canton of Kaarnemaa,canton,No Calendar Listed,http://kaarnemaa.org,,2026-06-22
Kingdom of Drachenwald,Canton of Meadowmarsh,canton,No Calendar Listed,http://www.meadowmarsh.de,,2026-06-22
Kingdom of Drachenwald,Canton of Miehonlinna,canton,No Calendar Listed,https://miehonlinna.wordpress.com,,2026-06-22
Kingdom of Drachenwald,Canton of Poukka,canton,No Calendar Listed,http://www.poukka.org,,2026-06-22
Kingdom of Drachenwald,Canton of Roterde,canton,No Calendar Listed,,,2026-06-22
Kingdom of Drachenwald,Canton of Turmstadt,canton,No Calendar Listed,http://www.turmstadt.de,,2026-06-22
Kingdom of Drachenwald,Canton of Unikankare,canton,No Calendar Listed,https://keskiaikaseuraunikankare.fi,,2026-06-22
Kingdom of Drachenwald,Canton of Vielburgen,canton,No Calendar Listed,,,2026-06-22
Kingdom of Drachenwald,College of St John of Rila,college,No Calendar Listed,,,2026-06-22
Kingdom of Drachenwald,Shire of Ad Flumen Caerulum,shire,No Calendar Listed,https://sca-austria.at,,2026-06-22
Kingdom of Drachenwald,Shire of Aros,shire,No Calendar Listed,http://aros.nordmark.org,,2026-06-22
Kingdom of Drachenwald,Shire of Attemark,shire,No Calendar Listed,https://attemark.se,,2026-06-22
Kingdom of Drachenwald,Shire of Baggeholm,shire,No Calendar Listed,http://www.baggeholm.se,,2026-06-22
Kingdom of Drachenwald,Shire of Depedene under Wychwood,shire,No Calendar Listed,https://www.depedene.org,,2026-06-22
Kingdom of Drachenwald,Shire of Dun in Mara,shire,No Calendar Listed,https://duninmara.org,,2026-06-22
Kingdom of Drachenwald,Shire of Fjellom,shire,No Calendar Listed,,,2026-06-22
Kingdom of Drachenwald,Shire of Flintheath,shire,No Calendar Listed,https://www.flintheath.org.uk,,2026-06-22
Kingdom of Drachenwald,Shire of Frostheim,shire,No Calendar Listed,http://www.frostheim.se,,2026-06-22
Kingdom of Drachenwald,Shire of Glen Rathlin,shire,No Calendar Listed,http://glenrathlin.org,,2026-06-22
Kingdom of Drachenwald,Shire of Gyllengran,shire,No Calendar Listed,https://gyllengran.nordmark.org,,2026-06-22
Kingdom of Drachenwald,Shire of Harpelstane,shire,No Calendar Listed,http://www.harpelstane.org,,2026-06-22
Kingdom of Drachenwald,Shire of Holmrike,shire,No Calendar Listed,http://holmrike.nordmark.org,,2026-06-22
